No,Pump,Range,Brand,BEP,OD,Flow
1,Q05,200-650,Powerlift,520,4.0,Radial
2,QJ05,370-680,Powerlift,530,4.0,Radial
3,Q08,400-1050,Powerlift,690,4.0,Radial
4,Q10,600-1250,Powerlift,950,4.0,Radial
5,QJ10,580-1180,Powerlift,900,4.0,Radial
6,Q10,800-1500,Powerlift,1250,4.0,Radial
7,QJ15,700-1600,Powerlift,1250,4.0,Radial
8,Q20,1150-2050,Powerlift,1630,4.0,Radial
9,QN20,1110-2250,Powerlift,1400,5.13,Radial
10,Q25,1150-2400,Powerlift,1960,4.0,Radial
11,Q30,1500-3150,Powerlift,2340,4.0,Radial
12,QN30,1700-3600,Powerlift,2780,5.13,Radial
13,Q32,1600-3200,Powerlift,2600,4.0,Mix
14,Q50,2000-5300,Powerlift,3960,4.0,Radial
15,QN55,2250-5200,Powerlift,4500,5.13,Mix
16,Q70,3400-6700,Powerlift,5440,4.0,Radial
17,QN70,3400-7900,Powerlift,6120,5.13,Mix
18,QN120,6000-12800,Powerlift,9280,5.13,Mix
19,QM200,12250-18000,Powerlift,15400,6.75,Mix
20,QM265,14000-24000,Powerlift,18000,6.75,Mix
21,DN460,200-650,Reda,486,4.0,Radial
22,DN800,250-1150,Reda,708,4.0,Radial
23,DN1750,1200-2050,Reda,1798,4.0,Mix
24,DN2400,1500-3200,Reda,2392,4.0,Radial
25,SN2600,1600-3200,Reda,2580,5.38,Mix
26,SN3600,2400-4600,Reda,3506,5.38,Radial
27,SN8000,3500-10500,Reda,7944,5.38,Mix
28,JN12000,8000-18500,Reda,12652,6.75,Mix
29,JN21000,16000-25000,Reda,19387,6.75,Mix
30,RCD1000NX,200-1350,Reda,984,4.0,Mix
31,RC2500,1000-3100,Reda,2515,4.0,Mix
32,RC4000,3500-7000,Reda,4310,4.0,Mix
33,RM1700,600-2650,Reda,1739,4.0,Mix
34,DN3550,1600-4500,Reda,3593,4.0,Mix
35,Flex 3.2,50-500,Baker,320,4.0,Volute
36,P4,300-600,Baker,450,4.0,Radial
37,P6,400-900,Baker,600,4.0,Radial
38,P10,650-1400,Baker,1000,4.0,Radial
39,Flex 10,275-1625,Baker,950,4.0,Mix
40,Flex17.5,600-2600,Baker,1750,4.0,Mix
41,Flex 31,1500-4000,Baker,3100,4.0,Mix
42,P23,1200-2900,Baker,2250,5.38,Mix
43,P31,2000-4300,Baker,3100,5.38,Mix
44,Flex47,2400-6000,Baker,5000,5.38,Mix
45,P62,4000-7700,Baker,6200,5.38,Mix
46,P100,5000-12000,Baker,10000,5.38,Mix
47,S8000N,4000-10000,Baker,8000,5.38,Mix
48,D460N,150-488,300,4,Mix
49,D1050N,300-1600,300,4,Mix
50,D1150N,400-1700,300,4,Mix
